Month,Day,Hour,AQI,Raw Conc.,Conc. Unit
1,1,1,266,265,UG/M3
1,1,2,240,164,UG/M3
1,1,3,225,160,UG/M3
1,1,4,209,142,UG/M3
1,1,5,211,163,UG/M3
1,1,6,197,128,UG/M3
1,1,7,184,96,UG/M3
1,1,8,174,80,UG/M3
1,1,9,174,101,UG/M3
1,1,10,172,93,UG/M3
1,1,11,166,74,UG/M3
1,1,12,162,68,UG/M3
1,1,13,156,55,UG/M3
1,1,14,164,96,UG/M3
1,1,15,162,73,UG/M3
1,1,16,161,72,UG/M3
1,1,17,157,59,UG/M3
1,1,18,155,60,UG/M3
1,1,19,154,60,UG/M3
1,1,20,157,72,UG/M3
1,1,21,160,83,UG/M3
1,1,22,175,131,UG/M3
1,1,23,192,166,UG/M3
Avg,,,181.4347826,,
,,,,,
1,2,0,239,243,UG/M3
1,2,1,235,181,UG/M3
1,2,2,210,135,UG/M3
1,2,3,199,138,UG/M3
1,2,4,199,148,UG/M3
1,2,5,193,126,UG/M3
1,2,6,192,132,UG/M3
1,2,7,185,109,UG/M3
1,2,8,183,113,UG/M3
1,2,9,184,122,UG/M3
1,2,10,176,90,UG/M3
1,2,11,172,86,UG/M3
1,2,12,162,57,UG/M3
1,2,13,165,90,UG/M3
1,2,14,170,100,UG/M3
1,2,15,165,73,UG/M3
1,2,16,159,59,UG/M3
1,2,17,141,33,UG/M3
1,2,18,134,46,UG/M3
1,2,19,152,67,UG/M3
1,2,20,167,117,UG/M3
1,2,21,171,101,UG/M3
1,2,22,178,123,UG/M3
1,2,23,198,186,UG/M3
Avg,,,180.375,,
,,,,,
1,3,0,209,170,UG/M3
1,3,1,259,259,UG/M3
1,3,2,270,231,UG/M3
1,3,3,248,177,UG/M3
1,3,4,234,170,UG/M3
1,3,5,215,146,UG/M3
1,3,6,197,124,UG/M3
1,3,7,193,129,UG/M3
1,3,8,197,153,UG/M3
1,3,9,222,199,UG/M3
1,3,10,235,197,UG/M3
